ACC_X,ACC_Y,ACC_Z
2.5917234,-7.3873096,6.9108634
2.3211784,-7.4387846,6.8450227
2.0290859,-7.553706,6.697779
2.1547816,-7.7440453,6.611588
2.4001873,-8.100781,6.5146227
2.5390508,-8.443152,6.5948286
2.4720132,-8.590396,6.5708866
2.4863784,-8.577228,6.599617
2.372654,-8.534132,6.4727244
2.2098482,-8.322245,6.244078
2.1057005,-8.159439,6.0980315
2.3223755,-8.161834,6.0704985
2.3020248,-8.250419,6.054936
2.336741,-8.228871,6.2883706
2.2266076,-8.248025,6.38773
2.3068132,-8.340201,6.269217
2.315193,-8.230068,5.955577
2.3762453,-8.063671,5.60722
2.5007436,-7.9511437,5.4683566
2.6288335,-7.9236107,5.4444146
2.7042508,-7.896077,5.437232
2.895787,-7.9272017,5.507861
3.003526,-7.9906483,5.494693
2.9340942,-8.037335,5.566519
2.6922798,-8.018182,5.7137623
2.4492683,-7.979874,5.7784057
2.2577322,-7.928399,5.7987566
2.2038627,-7.880515,5.7736173
2.2517467,-7.839813,5.6467247
2.243367,-7.762002,5.518635
2.2349873,-7.78355,5.3678
2.292448,-7.825448,5.345055
2.3702598,-7.881712,5.2863975
2.4109612,-7.8996687,5.294777
2.4839842,-7.9307933,5.4899044
2.5187001,-8.103176,5.657499
2.5797524,-8.149862,5.768829
2.5570073,-8.084022,5.7520695
2.6156654,-8.030152,5.73531
2.6084828,-7.97748,5.7496753
2.6982653,-7.964312,5.6227827
2.7581203,-7.9726915,5.518635
2.7748797,-8.019379,5.505467
2.743755,-8.007407,5.6239796
2.7617116,-8.091205,5.7029886
2.8072014,-8.057686,5.675455
2.7952304,-8.074445,5.9160724
2.5953147,-8.031349,6.1100025
2.4121583,-7.7548194,6.0561333
2.3511062,-7.5201874,5.807136
2.421735,-7.386112,5.559336
2.5689783,-7.441179,5.279215
2.64679,-7.501034,5.341464
3.7002387,-7.965509,4.4544125
5.1523223,-8.218098,3.9731777
5.4539914,-8.39886,3.9109285
4.7058034,-8.394072,4.158728
3.8666358,-8.340201,4.390966
3.3399115,-8.2516165,4.602853
3.1986535,-8.091205,4.584896
3.1112652,-8.049306,4.5418005
3.1352072,-8.038532,4.4220905
3.2728736,-8.028955,4.3478703
3.6415808,-8.12233,4.297592
3.8642416,-8.094796,4.0438066
4.1180267,-8.264784,4.0078936
4.2341456,-8.432379,4.1383777
4.322731,-8.453926,4.1264067
4.605247,-8.446744,3.8762126
4.8757915,-8.354567,3.5781345
5.243302,-8.2037325,3.2369606
5.8262897,-8.079233,2.823961
5.9388175,-7.7584105,2.777274
5.6407394,-7.513005,3.1435869
5.391742,-7.374141,3.550601
