GYR_X,GYR_Y,GYR_Z
-0.70337415,0.08302405,0.49355033
-0.7012436,0.11604724,0.48289767
-0.6927215,0.078762986,0.46904925
-0.6841994,-0.0064581656,0.46052712
-0.6639593,-0.07783088,0.44135237
-0.6256098,-0.11191934,0.42430815
-0.5670203,-0.14813833,0.4040681
-0.5041697,-0.19820577,0.3774365
-0.43386224,-0.26425216,0.34654385
-0.36781582,-0.34521225,0.3113901
-0.3124221,-0.42617235,0.28369322
-0.25383255,-0.4602608,0.25599635
-0.18245982,-0.45280397,0.23149528
-0.10256499,-0.44641238,0.21551631
-0.021604894,-0.45813027,0.19421102
0.049767822,-0.53802514,0.1888847
0.09770472,-0.6434863,0.18036258
0.11048789,-0.7127285,0.19527629
0.0923784,-0.7084674,0.22084263
0.06148573,-0.6498779,0.24321319
0.02739727,-0.57637465,0.25386584
-0.0077564567,-0.5145893,0.23788686
-0.038649123,-0.43789026,0.18142785
-0.053562827,-0.2930143,0.113250926
-0.048236504,-0.12257199,0.06424876
-0.03758386,-0.014980281,0.03548662
-0.02053963,-0.0043276367,0.017377125
0.0060919807,-0.061851915,0.014181333
0.03485412,-0.1310941,0.019507654
0.06148573,-0.19074892,0.02589924
0.08066049,-0.25040373,0.031225564
0.081725754,-0.307928,0.033356093
0.068942584,-0.35053858,0.038682416
0.048702557,-0.3611912,0.040812943
0.021005683,-0.3462775,0.04933506
0.0028961876,-0.33029854,0.05679191
0.007157245,-0.31538484,0.04720453
0.015679361,-0.29834062,0.03548662
0.014614096,-0.287688,0.033356093
0.016744625,-0.2844922,0.022703448
0.023136212,-0.2749048,0.00885501
0.03272359,-0.2301637,-0.004993427
0.03911518,-0.19074892,-0.012450278
0.043376237,-0.18755312,-0.02949451
0.048702557,-0.22377211,-0.04440821
0.059355203,-0.2834269,-0.049734533
0.07107311,-0.3494733,-0.06145244
0.09450893,-0.4666524,-0.081692465
0.11687948,-0.6903579,-0.10086723
0.114748955,-0.9790446,-0.11791146
0.07533417,-1.2634702,-0.110454604
0.014614096,-1.50422,-0.08488826
-0.057823885,-1.7236644,-0.0326903
-0.081259705,-1.8600183,0.030160299
-0.04184492,-1.4967631,0.045074
0.0028961876,-0.79688436,0.09940249
0.024201477,-0.16198677,0.16438362
0.01994042,0.1266999,0.123903565
-0.003495399,0.07450193,0.05892244
-0.03438807,-0.179031,0.031225564
-0.063150205,-0.4783703,0.02057292
-0.0844555,-0.7777096,0.022703448
-0.094042875,-1.0621352,0.022703448
-0.07380285,-1.2815797,0.02057292
-0.03758386,-1.3806493,0.024833977
0.0028961876,-1.3849103,0.061052967
0.055094145,-1.404085,0.07703193
0.11794475,-1.5010241,0.053596117
0.18292588,-1.6395085,0.014181333
0.2361891,-1.7215339,-0.030559773
0.29051757,-1.6640096,-0.05825665
0.3469766,-1.3913019,-0.08914932
0.38106507,-1.0141983,-0.12430304
0.38532612,-0.72018534,-0.12749884
0.37786928,-0.58063567,-0.13389042
0.36082503,-0.5976799,-0.15093465
0.32034498,-0.68929267,-0.140282
0.2532333,-0.76066536,-0.11151987
0.18186061,-0.7990149,-0.07530088
0.113683686,-0.7979496,-0.03695136
0.062551,-0.7084674,-0.028429244
0.04231097,-0.5273725,-0.02736398
0.04231097,-0.2930143,-0.015646072
