ACC_X,ACC_Y,ACC_Z
0.89064306,-0.5351041,10.0903635
0.9816227,-0.50637364,10.093954
0.93972415,-0.521936,10.184934
0.973243,-0.5255273,10.20289
0.9888053,-0.50517654,10.157401
0.93493575,-0.50038815,10.067618
1.0115502,-0.48602295,10.156203
1.1025299,-0.47764325,10.127473
1.1013328,-0.51595044,10.158598
1.0929531,-0.50757074,10.110714
1.0522517,-0.5434838,10.089166
0.9900024,-0.50996494,10.180145
1.0139444,-0.50876784,10.168175
0.9923966,-0.47764325,10.104729
0.9792285,-0.48841715,10.0269165
1.0115502,-0.5267244,10.139444
1.0594343,-0.49799395,10.149021
1.0342951,-0.47405192,10.078392
0.92655605,-0.48123455,10.109517
0.9636662,-0.50637364,10.181343
1.1264719,-0.59495914,10.16578
1.3215994,-0.5626374,10.159795
1.3742718,-0.51355624,10.0341
1.1803415,-0.51595044,10.047267
0.8822633,-0.50637364,10.120291
0.62488663,-0.5363012,10.247183
0.5602432,-0.50637364,10.196905
0.60453594,-0.521936,10.177752
0.5746084,-0.5554548,10.212467
0.59376204,-0.50397944,10.263943
0.58538234,-0.51235914,10.184934
0.5674258,-0.5422867,10.110714
0.6464345,-0.5793968,10.15381
0.6979098,-0.58657944,10.163386
0.6512229,-0.545878,10.105926
0.6631939,-0.50517654,10.193314
0.545878,-0.51595044,10.192117
0.4321534,-0.5542577,10.218452
0.38187516,-0.557849,10.171766
0.36272156,-0.5327099,10.200497
0.4141969,-0.5327099,10.218452
0.5590461,-0.5422867,10.205285
0.56982,-0.5722142,10.134656
0.50876784,-0.59256494,10.159795
0.4309563,-0.5363012,10.097546
0.49919105,-0.5398925,10.1861315
0.5291186,-0.48841715,10.188525
0.51355624,-0.47285482,10.177752
0.5494693,-0.5255273,10.157401
0.49799395,-0.5518635,10.368091
0.5530606,-0.49559975,10.195708
0.5758055,-0.51595044,10.061633
0.62129533,-0.56982,10.223241
0.6967127,-0.5566519,10.220847
0.80564886,-0.5386954,10.092757
0.7302315,-0.49200845,10.192117
0.6811504,-0.48362875,10.181343
0.7206547,-0.5291186,10.231621
0.79607207,-0.58538234,10.206482
