GYR_X,GYR_Y,GYR_Z
-0.00136487,-0.04587295,3.3289514E-4
-0.0024301345,-0.039481364,-7.323693E-4
-0.00136487,-0.039481364,-0.0017976337
7.656588E-4,-0.039481364,-7.323693E-4
0.0018309233,-0.035220306,-7.323693E-4
7.656588E-4,-0.04906874,0.0056592175
7.656588E-4,-0.052264538,0.0035286883
-0.00136487,-0.035220306,0.0024634239
0.0018309233,-0.018176075,-0.0017976337
0.0018309233,-0.0032623722,-0.004993427
-2.9960563E-4,0.007390272,-0.009254484
-2.9960563E-4,0.013781859,-0.011385013
0.0018309233,0.01910818,-0.014580807
-2.9960563E-4,0.0041944785,-0.012450278
-0.003495399,0.0031292143,-0.009254484
-0.0024301345,0.018042916,-0.0039281626
-0.0045606634,0.013781859,0.0024634239
-0.009886986,-0.0064581656,0.009920275
-0.016278572,-0.028828718,0.019507654
-0.017343836,-0.016045546,0.02057292
-0.008821721,0.052131377,0.021638183
0.0018309233,0.14587465,0.038682416
0.0050267167,0.22683474,0.05679191
0.0039614523,0.26838005,0.07383614
0.0050267167,0.2790327,0.082358256
0.00822251,0.24494424,0.08555405
0.009287775,0.19274628,0.0749014
0.0050267167,0.1565273,0.04720453
0.0028961876,0.13735253,0.016311862
0.0050267167,0.11604724,-0.0028628982
0.0039614523,0.093676694,-0.0060586915
0.0028961876,0.08195878,0.0024634239
0.0028961876,0.08195878,0.01844239
0.0018309233,0.079828255,0.02802977
0.0028961876,0.0872851,0.029095035
0.0039614523,0.10006828,0.02589924
0.0028961876,0.090480894,0.019507654
0.0028961876,0.063849285,0.009920275
0.0018309233,0.03082609,0.0067244815
7.656588E-4,-0.0064581656,3.3289514E-4
0.0018309233,-0.025632925,-0.0060586915
0.0050267167,-0.012849752,-0.012450278
0.0060919807,0.0031292143,-0.015646072
0.0039614523,-0.01711081,-0.012450278
-0.00136487,-0.042677157,-0.0017976337
-0.00136487,-0.04800348,-7.323693E-4
-2.9960563E-4,-0.056525595,-0.009254484
-0.0024301345,-0.069308765,-0.022037657
-0.0066911923,-0.0682435,-0.03695136
-0.0024301345,-0.084222466,-0.03908189
-2.9960563E-4,-0.10339723,-0.03908189
-0.005625928,-0.112984605,-0.038016625
-0.0066911923,-0.12576778,-0.033755567
-0.0045606634,-0.13428989,-0.026298715
-0.0066911923,-0.12683305,-0.025233451
-0.008821721,-0.13002884,-0.023102922
-0.009886986,-0.14387728,-0.024168186
-0.008821721,-0.15452991,-0.020972393
-0.0077564567,-0.15133412,-0.022037657
-0.0066911923,-0.13748568,-0.028429244
-0.0045606634,-0.1310941,-0.022037657
-0.005625928,-0.116180405,-0.013515542
-0.005625928,-0.09167932,-0.007123956
-0.003495399,-0.07676562,-0.0028628982
-0.0024301345,-0.054395065,-0.007123956
-0.003495399,-0.03202451,-0.010319749
-2.9960563E-4,-0.028828718,-0.010319749
-2.9960563E-4,-0.025632925,-0.009254484
7.656588E-4,-0.028828718,-0.009254484
0.0018309233,-0.028828718,-0.007123956
7.656588E-4,-0.023502396,3.3289514E-4
0.0018309233,-0.020306604,0.007789746
0.0018309233,-0.018176075,0.010985539
0.0028961876,-0.0043276367,0.007789746
0.0039614523,0.0041944785,0.0056592175
0.0028961876,0.01165133,0.004593953
0.0018309233,0.0041944785,0.00885501
0.0018309233,-0.002197108,0.010985539
0.0060919807,0.013781859,0.010985539
0.0050267167,0.022303974,0.007789746
0.0039614523,0.015912388,0.0035286883
0.0039614523,0.01165133,0.0024634239
0.0039614523,0.014847123,3.3289514E-4
0.0039614523,0.01165133,-0.0039281626
0.0028961876,0.008455536,-0.009254484
0.0028961876,0.018042916,-0.011385013
0.0028961876,0.01910818,-0.011385013
7.656588E-4,0.005259743,-0.011385013
-2.9960563E-4,9.986854E-4,-0.0060586915
0.0028961876,0.007390272,-0.0017976337
0.0039614523,0.008455536,-7.323693E-4
0.0028961876,0.013781859,3.3289514E-4
7.656588E-4,0.021238709,-7.323693E-4
0.0028961876,0.013781859,-0.0028628982
0.0018309233,0.008455536,-0.0039281626
0.0018309233,0.0031292143,-0.0039281626
0.0018309233,-0.002197108,-0.0028628982
7.656588E-4,-0.00752343,-0.0060586915
-2.9960563E-4,-0.0064581656,-0.0060586915
7.656588E-4,-0.0064581656,-0.0060586915
0.0028961876,-0.0032623722,-0.004993427
0.0018309233,0.0020639498,-7.323693E-4
7.656588E-4,0.005259743,0.0024634239
-2.9960563E-4,0.0031292143,0.0035286883
-0.00136487,0.0063250074,0.0035286883
-0.00136487,9.986854E-4,0.0013981595
-0.00136487,-0.021371868,-7.323693E-4
7.656588E-4,-0.022437133,-0.0028628982
0.0028961876,-0.013915016,-0.0039281626
-2.9960563E-4,-0.01711081,-0.0028628982
-2.9960563E-4,-0.012849752,-0.0017976337
0.0018309233,-0.008588694,-0.0017976337
0.0018309233,-0.012849752,-0.0017976337
7.656588E-4,-0.016045546,-0.0017976337
7.656588E-4,-0.016045546,-0.0028628982
0.0018309233,-0.0096539585,-0.0039281626
7.656588E-4,-0.002197108,-0.0017976337
-2.9960563E-4,0.007390272,-0.007123956
-2.9960563E-4,0.0063250074,-0.016711336
0.0018309233,-0.005392901,-0.018841865
-2.9960563E-4,-0.0096539585,-0.019907128
-0.0024301345,-0.013915016,-0.020972393
-0.00136487,-0.010719223,-0.017776601
0.0018309233,-0.0043276367,-0.014580807
0.0039614523,-0.0011318434,-0.012450278
7.656588E-4,-6.657903E-5,-0.010319749
0.0018309233,0.005259743,-0.007123956
0.0050267167,0.007390272,-0.0060586915
0.0028961876,-6.657903E-5,-0.004993427
0.0028961876,-0.0064581656,-0.0060586915
0.0039614523,-0.0043276367,-0.0039281626
0.0039614523,-0.0096539585,-0.0028628982
7.656588E-4,-0.00752343,-0.0017976337
7.656588E-4,0.0041944785,-0.0017976337
0.0028961876,0.0031292143,-0.0039281626
0.0028961876,0.0031292143,-0.0017976337
7.656588E-4,0.005259743,-7.323693E-4
7.656588E-4,0.0020639498,-0.004993427
7.656588E-4,-0.005392901,-0.011385013
-2.9960563E-4,-0.01711081,-0.012450278
-2.9960563E-4,-0.033089776,-0.010319749
-0.00136487,-0.043742422,-0.0060586915
-0.00136487,-0.04587295,-0.0039281626
-0.003495399,-0.056525595,-7.323693E-4
-0.0077564567,-0.085287735,-7.323693E-4
-0.003495399,-0.08954879,-0.0060586915
0.0028961876,-0.025632925,-0.004993427
0.0028961876,-0.002197108,-0.009254484
7.656588E-4,0.018042916,-0.011385013
0.0028961876,0.035087146,-0.0028628982
0.0039614523,0.027630296,-7.323693E-4
0.0018309233,0.009520801,-0.0039281626
0.0028961876,0.0041944785,-0.007123956
0.0050267167,0.0063250074,-0.00818922
0.0018309233,0.014847123,-0.009254484
7.656588E-4,0.018042916,-0.004993427
0.0028961876,0.008455536,-0.0028628982
